Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,Log_Assets
ASO,"Academy Sports & Outdoors, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,5933450000.0,-3921990000.0,-1472821000.0,538639000.0,418447000,4900963000.0,0.660996553438556,0.24822337763021513,0.09078006893122888,0.07052338858505591,22.312697553365627
AZO,AUTOZONE INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2020-08-31,12631967000.0,-5861214000.0,-4353074000.0,2417679000.0,1732972000,14423872000.0,0.4639985205787824,0.34460777169541373,0.1913937077258039,0.13718940209390984,23.392150448709327
AZO,AUTOZONE INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-08-31,14629585000.0,-6911800000.0,-4773258000.0,2944527000.0,2170314000,14516199000.0,0.47245359318121466,0.3262743269887697,0.2012720798300157,0.14835102977972375,23.398531035214013
AZO,AUTOZONE INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-08-31,16252230000.0,-7779580000.0,-5201921000.0,3270729000.0,2429604000,15275043000.0,0.478677695307044,0.3200742913434033,0.20124801334955264,0.14949357718909959,23.44948615705739
AZO,AUTOZONE INC,Consumer Cyclical,Retail - Apparel & Specialty,2023,2023-08-31,17457209000.0,-8386787000.0,-5596436000.0,3473986000.0,2528426000,15985878000.0,0.48041969366351744,0.32058022562484073,0.19900008071164182,0.14483563781587308,23.4949715444434
AZO,AUTOZONE INC,Consumer Cyclical,Retail - Apparel & Specialty,2024,2024-08-31,18490268000.0,-8673216000.0,-6028344000.0,3788708000.0,2662427000,17176538000.0,0.469069242263011,0.3260279407524001,0.20490281698458887,0.14399071987490933,23.56681021980831
BARK,"BARK, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-03-31,378604000.0,-152664000.0,-246539000.0,-20599000.0,-31391000,150863000.0,0.4032287033417502,0.651179068366948,-0.05440777170869827,-0.08291248903867894,18.831882698179044
BARK,"BARK, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-03-31,507406000.0,-225300000.0,-376287000.0,-94181000.0,-68299000,434061000.0,0.4440231294072203,0.7415895752119605,-0.1856127046191807,-0.1346042419679704,19.888695635183424
BARK,"BARK, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-03-31,535315000.0,-227200000.0,-371946000.0,-63831000.0,-61519000,400420000.0,0.4244230032784435,0.6948170703230808,-0.11924007360152433,-0.11492112120900778,19.808024554207826
BARK,"BARK, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-03-31,490184000.0,-188032000.0,-347672000.0,-45520000.0,-37010000,298588000.0,0.3835947317741909,0.709268356372301,-0.09286308814649193,-0.07550226037569566,19.51457525471996
