Ticker,Company Name,Avg_Revenue,Avg_COGS_ratio,Avg_SGA_ratio,Avg_Operating_Margin,Avg_Net_Margin,Avg_ROA,Years
ZKH,ZKH Group Limited,1229074726.3333333,0.834197372187058,0.1481887810778196,-0.05561647647000547,-0.05132048686952978,-0.06552176244966636,3
BNED,"Barnes & Noble Education, Inc.",1503148250.0,0.788231732041077,0.2229966788423131,-0.03960466861605932,-0.0629448198318699,-0.09338715080482729,4
CHS,"Chico's FAS, Inc.",1758666000.0,0.7008703488413088,0.3509977628063033,-0.05186811164761212,-0.06519323038852577,-0.05070461477214718,3
KSPN,Kaspien Holdings Inc.,143428666.66666666,0.815432764995964,0.24032343982555707,-0.07445534123480103,-0.07632605194375455,-0.24181041034090503,3
CTHR,CHARLES & COLVARD LTD,24733795.75,0.5978317275908882,0.4239198217792747,-0.02175154937016291,-0.07662190366895628,-0.08414075772027783,4
FTCH,Farfetch Ltd,2082403333.3333333,0.5491108755444565,0.7373230821053848,-0.2864339576498413,-0.07946656228765107,-0.052509622957185066,3
HNST,"The Honest Company, Inc.",331103400.0,0.6659493458762084,0.40227394702040353,-0.08853147527828413,-0.09118782418279488,-0.12501732722522577,5
AKA,a.k.a. Brands Holding Corp.,502160000.0,0.43929052810427593,0.5428436802329439,0.01786579166277996,-0.09186422138739321,-0.1241137660892732,5
BARK,"BARK, Inc.",479138200.0,0.40631239074452036,0.6986308443740356,-0.10494323511855588,-0.09516886608535896,-0.15383141063096847,5
JAN,JanOne Inc.,28807000.0,0.6718501297590883,0.5680916076988823,-0.31650776645183226,-0.16430433355517943,0.08391889212545693,3
APRN,"Blue Apron Holdings, Inc.",463150666.6666667,0.6400353333069965,0.4635354520983615,-0.1573497881692856,-0.175814653074602,-0.39473302721796805,3
BIRD,"Allbirds, Inc.",264844666.66666666,0.5073318674150414,0.6842936003753035,-0.19162546779034498,-0.20727205827522346,-0.13935427586668367,3
DIBS,"1stdibs.Com, Inc.",90876800.0,0.30286304133713354,0.7055230888868407,-0.23546919286912668,-0.21379435238220496,-0.12630727053788857,5
GOED,Polished.com Inc.,311777666.6666667,0.8317205782675301,0.2146705877958859,-0.10021631509506661,-0.21626780223415096,-0.36304447437864473,3
BBBY,BED BATH & BEYOND INC,7481830333.333333,0.7064434530506536,0.37846646452092453,-0.08490991757157802,-0.24736335295242903,-0.24028467809603452,3
TDUP,ThredUp Inc.,242062000.0,0.3122227644495157,0.4261082792743001,-0.2695122285011789,-0.27609913683237886,-0.27190954836695486,3
LANV,Lanvin Group Holdings Limited,406533828.0,0.4353542549020949,0.871055469524018,-0.34423934520439725,-0.38370801805784316,-0.2162310445087867,4
REAL,"TheRealReal, Inc.",504184400.0,0.356373835004128,0.4872142716456008,-0.33200828192273385,-0.3893489129700306,-0.3233135802592405,5
RENT,"Rent the Runway, Inc.",252320000.0,0.5586902131891656,0.498508181802414,-0.39178370258825457,-0.559508502395641,-0.42341635229976227,5
WISH,ContextLogic Inc.,1105400000.0,0.6364378801883294,0.7477397930687889,-0.45177365444255074,-0.5721076296210307,-0.42839485227672797,5
